ts	phase	decision	why	evidence	result
2026-08-28T01:58:58Z	unit-1	verified installed pi-subagents 0.58.0 contract	implementation must use the installed package API	/Users/peter/.pi/agent/npm/node_modules/pi-subagents/package.json	package read; runtime restart still required
2026-08-28T01:58:58Z	gate	created Pi-only checker before content sweep	make migration rules rerunnable	/tmp/pi-only-before.out	180 tracked ppstack violations before sweep
2026-08-28T02:00:27Z	unit-3	removed duplicate retrieval agents and selector references	builtin package roles own those jobs	scripts/check-pi-only.ts	legacy paths removed
2026-08-28T02:00:27Z	unit-4	removed legacy packaging and two obsolete autopilot playbooks	Pi missions and worktrees replace those paths	skills/ppstack/docs/cursor-history.md	history retained in Git and one note; raw traces remain local
2026-08-28T02:24:00Z	unit-2	installed canonical Pi settings and custom role profiles	one native selector prevents routing drift	pi/settings.json; subagent list/get	resolved roles match chosen models, thinking, and contexts
2026-08-28T02:24:00Z	verification	strengthened working-tree and generated-file checks	untracked migration files and stale generated docs must fail locally	scripts/check-pi-only.ts; scripts/render-model-routing.ts	static checks and installer-from-/tmp passed
2026-08-28T02:24:00Z	runtime-eval	blocked disposable composed probe	child process exceeded the parent tool timeout	skills/ppstack/debug/traces/pi-only-eval/scenario-result.txt	temporary process terminated; rerun after Pi restart
2026-08-28T02:28:00Z	architecture	preserved two-model design exploration	pstack architecture review used independent model families before parent synthesis	skills/ppstack/skills/architect/SKILL.md; skills/ppstack/skills/arena/SKILL.md	read-only designs use council-sol and council-grok; writable races use isolated workers
2026-08-28T14:20:00Z	evidence-boundary	materialized review evidence before read-only judgment	read-only agents must not reverse-engineer missing diffs from Git internals	skills/ppstack/skills/petey/SKILL.md; skills/ppstack/agents/council-sol.md; skills/ppstack/agents/council-grok.md	missing artifacts now return MISSING EVIDENCE with an exact parent command
2026-08-28T14:20:00Z	debug	standardized local diagnostics under ignored debug paths	raw records and incident notes should not enter commits	pi/extensions/petey-debug.ts; skills/ppstack/debug/README.md	traces live under debug/traces and fixes are indexed in debug/PETEY-LOG.md
2026-08-28T14:20:00Z	automation	standardized repository automation on TypeScript executed by Bun	language rules belong in deterministic checks rather than model skills	docs/typescript-automation.md; scripts/check-typescript-automation.ts	mjs, cjs, and js automation files now fail the check
2026-08-28T14:35:00Z	review-boundary	bounded each reviewer to one named source seam	one reviewer broadened a 210 KB migration audit into the home directory and hit the protocol line limit	skills/ppstack/skills/petey/SKILL.md; run 21d5b051-1218-4873-9e0a-369d47046cfb	large patches now split across distinct read-only review lanes
